Utility,Pollution,Inertia,Reliability,both,rank
0.0,0.708,1.0,0.709,0.0,19
1.0,0.124,0.0,0.122,0.122,8
1.0,0.381,0.0,0.38,0.38,14
0.0,0.765,1.0,0.769,0.0,28
1.0,0.118,0.0,0.116,0.116,5
1.0,0.13,0.0,0.128,0.128,10
0.0,0.765,1.0,0.769,0.0,24
1.0,0.116,0.0,0.115,0.115,3
0.0,0.765,1.0,0.769,0.0,23
0.0,0.767,1.0,0.769,0.0,27
0.0,0.765,1.0,0.769,0.0,26
0.0,0.728,1.0,0.73,0.0,21
0.0,0.731,1.0,0.735,0.0,22
0.0,0.764,1.0,0.769,0.0,25
1.0,0.114,0.0,0.113,0.113,2
1.0,0.127,0.0,0.123,0.123,9
1.0,0.139,0.0,0.138,0.138,12
1.0,0.153,0.0,0.152,0.152,13
0.0,0.766,1.0,0.769,0.0,29
1.0,0.4,0.0,0.398,0.398,15
0.0,0.721,1.0,0.722,0.0,20
1.0,0.111,0.0,0.11,0.11,1
0.607,0.538,0.0,0.54,0.338,16
1.0,0.119,0.0,0.118,0.118,6
1.0,0.118,0.0,0.116,0.116,4
1.0,0.106,0.0,0.106,0.106,0
0.429,0.6,0.0,0.599,0.261,17
1.0,0.138,0.0,0.136,0.136,11
0.0,0.667,1.0,0.671,0.0,18
1.0,0.123,0.0,0.12,0.12,7
